"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Total","2021",5.679,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons with disability","2021",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons without disability","2021",5.696,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Total","2021",5.729,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons with disability","2021",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons without disability","2021",5.759,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Total","2021",5.519,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons with disability","2021",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons without disability","2021",5.494,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Total","2020",11.71,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons with disability","2020",8.761,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons without disability","2020",11.776,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Total","2020",10.452,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons with disability","2020",9.132,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons without disability","2020",10.485,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Total","2020",16.772,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons with disability","2020",,"Unreliable",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons without disability","2020",16.909,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Total","2017",11.184,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons with disability","2017",12.648,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons without disability","2017",11.13,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Total","2017",10.37,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons with disability","2017",12.367,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons without disability","2017",10.294,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Total","2017",14.027,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons with disability","2017",13.793,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons without disability","2017",14.034,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Total","2014",9.579,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons with disability","2014",7.466,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons without disability","2014",9.651,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Total","2014",9.963,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons with disability","2014",7.793,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons without disability","2014",10.051,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Total","2014",9.103,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons with disability","2014",6.836,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons without disability","2014",9.161,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Total","2012",22.032,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons with disability","2012",19.832,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons without disability","2012",22.06,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Total","2012",22.243,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons with disability","2012",20.506,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons without disability","2012",22.268,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Total","2012",21.615,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons with disability","2012",18.002,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Female","Disability status (Aggregate): Persons without disability","2012",21.652,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Total","2008",6.854,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons with disability","2008",4.664,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Total","Disability status (Aggregate): Persons without disability","2008",7.064,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Total","2008",6.304,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","Male","Disability status (Aggregate): Persons with disability","2008",5.48,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
